topic,payload,device_id,message_id,message_content,timestamp,received_timestamp,payload_size,synthetic_latency,latency,avg_speed,offloading_layer_index,layer_output,device_layers_inference_time
devices/,"{""timestamp"":""1727974104.898898564"",""message_id"":""ae6a"",""device_id"":""device_01"",""message_content"":""HelloWorld!""}",device_01,ae6a,HelloWorld!,1727974104.898898564,1727974104.9671984,112,499.35752659227035,-0.06829977035522461,-3.283879246442156,,,
device_01/model_inference,"{""device_id"": ""edge"", ""message_id"": ""ae6a"", ""timestamp"": ""1727974105.0303655"", ""message_content"": ""AskInference"", ""offloading_layer_index"": 0, ""input_data"": [[255, 255, 255, 255, 255, 255, 255, 255, 255, 255], [255, 255, 255, 255, 255, 255, 255, 255, 255, 255], [255, 255, 0, 0, 0, 255, 255, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 255, 255, 255, 255, 255], [255, 255, 255, 255, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]]}",edge,ae6a,AskInference,1727974105.0303655,1727974105.0716872,632,625.3410152519048,-0.041321754455566406,-24.45802649949259,,,
device_01/model_inference_result,"{""timestamp"":""1727974105.202202295"",""message_id"":""ae6a"",""device_id"":""device_01"",""message_content"":{""layer_output"":[""2.43"",""-0.77"",""0.54"",""1.86"",""2.08""],""offloading_layer_index"":0,""layers_inference_time"":[0.163838]},""layer_inference_time"":[0.163838],""layer_output"":[[""2.43"",""-0.77"",""0.54"",""1.86"",""2.08""]]}",device_01,ae6a,"{'layer_output': ['2.43', '-0.77', '0.54', '1.86', '2.08'], 'offloading_layer_index': 0, 'layers_inference_time': [0.163838]}",1727974105.202202295,1727974105.2879167,304,175.47573887328164,-0.08571434020996094,-20.211708094412728,0,"['2.43', '-0.77', '0.54', '1.86', '2.08']",[0.163838]
device_01/end_computation,"{""device_id"": ""edge"", ""message_id"": ""ae6a"", ""timestamp"": ""1727974105.3324838"", ""message_content"": ""EndComputation""}",edge,ae6a,EndComputation,1727974105.3324838,1727974105.37745,115,220.962863700144,-0.04496622085571289,-11.57423141413461,,,
devices/,"{""timestamp"":""1727974120.494494283"",""message_id"":""687c"",""device_id"":""device_01"",""message_content"":""HelloWorld!""}",device_01,687c,HelloWorld!,1727974120.494494283,1727974120.5579991,112,1020.9935650990293,-0.06350493431091309,-1.7273786464492944,,,
device_01/model_inference,"{""device_id"": ""edge"", ""message_id"": ""687c"", ""timestamp"": ""1727974120.5992222"", ""message_content"": ""AskInference"", ""offloading_layer_index"": 0, ""input_data"": [[255, 255, 255, 255, 255, 255, 255, 255, 255, 255], [255, 255, 255, 255, 255, 255, 255, 255, 255, 255], [255, 255, 0, 0, 0, 255, 255, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 255, 255, 255, 255, 255], [255, 255, 255, 255, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]]}",edge,687c,AskInference,1727974120.5992222,1727974120.642507,632,144.07874779905325,-0.04328489303588867,-101.33997768058123,,,
device_01/model_inference_result,"{""timestamp"":""1727974120.801801642"",""message_id"":""687c"",""device_id"":""device_01"",""message_content"":{""layer_output"":[""2.43"",""-0.77"",""0.54"",""1.86"",""2.08""],""offloading_layer_index"":0,""layers_inference_time"":[0.162784]},""layer_inference_time"":[0.162784],""layer_output"":[[""2.43"",""-0.77"",""0.54"",""1.86"",""2.08""]]}",device_01,687c,"{'layer_output': ['2.43', '-0.77', '0.54', '1.86', '2.08'], 'offloading_layer_index': 0, 'layers_inference_time': [0.162784]}",1727974120.801801642,1727974120.8675628,304,338.3245677084257,-0.06576108932495117,-13.663785932568207,0,"['2.43', '-0.77', '0.54', '1.86', '2.08']",[0.162784]
device_01/end_computation,"{""device_id"": ""edge"", ""message_id"": ""687c"", ""timestamp"": ""1727974120.9156752"", ""message_content"": ""EndComputation""}",edge,687c,EndComputation,1727974120.9156752,1727974120.9547677,115,248.7228162145999,-0.0390925407409668,-11.827373628582569,,,
devices/,"{""timestamp"":""1727974134.663663127"",""message_id"":""2992"",""device_id"":""device_01"",""message_content"":""HelloWorld!""}",device_01,2992,HelloWorld!,1727974134.663663127,1727974134.7165937,112,661.2370971678505,-0.052930593490600586,-3.2000299896665387,,,
device_01/model_inference,"{""device_id"": ""edge"", ""message_id"": ""2992"", ""timestamp"": ""1727974134.7714057"", ""message_content"": ""AskInference"", ""offloading_layer_index"": 0, ""input_data"": [[255, 255, 255, 255, 255, 255, 255, 255, 255, 255], [255, 255, 255, 255, 255, 255, 255, 255, 255, 255], [255, 255, 0, 0, 0, 255, 255, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 255, 255, 255, 255, 255], [255, 255, 255, 255, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 0, 0, 255, 0, 0, 255, 255, 255], [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]]}",edge,2992,AskInference,1727974134.7714057,1727974134.8130412,632,296.9390843481853,-0.04163551330566406,-51.11940497590441,,,
device_01/model_inference_result,"{""timestamp"":""1727974134.962962288"",""message_id"":""2992"",""device_id"":""device_01"",""message_content"":{""layer_output"":[""2.43"",""-0.77"",""0.54"",""1.86"",""2.08""],""offloading_layer_index"":0,""layers_inference_time"":[0.163298]},""layer_inference_time"":[0.163298],""layer_output"":[[""2.43"",""-0.77"",""0.54"",""1.86"",""2.08""]]}",device_01,2992,"{'layer_output': ['2.43', '-0.77', '0.54', '1.86', '2.08'], 'offloading_layer_index': 0, 'layers_inference_time': [0.163298]}",1727974134.962962288,1727974135.018908,304,1068.7632089156089,-0.055945634841918945,-5.084238114025372,0,"['2.43', '-0.77', '0.54', '1.86', '2.08']",[0.163298]
device_01/end_computation,"{""device_id"": ""edge"", ""message_id"": ""2992"", ""timestamp"": ""1727974135.063437"", ""message_content"": ""EndComputation""}",edge,2992,EndComputation,1727974135.063437,1727974135.1057777,114,737.0040113585333,-0.042340755462646484,-3.6532247988623645,,,
